ALLAHABAD,INDORE,803
ALLAHABAD,JABALPUR,736
ALLAHABAD,JAIPUR,710
ALLAHABAD,JAMSHEDPUR,875
ALLAHABAD,JULLUNDUR,1008
ALLAHABAD,KANPUR,193
ALLAHABAD,KOLHAPUR,1611
ALLAHABAD,LUCKNOW,234
ALLAHABAD,LUDHIANA,959
ALLAHABAD,MADRAS,1245
ALLAHABAD,MADURAI,1410
ALLAHABAD,MEERUT,687
ALLAHABAD,NAGPUR,608
ALLAHABAD,NASIK,1155
ALLAHABAD,PANJIM,1419
ALLAHABAD,PATNA,402
ALLAHABAD,PONDICHERRY,1077
ALLAHABAD,PUNE,1364
ALLAHABAD,RANCHI,704
ALLAHABAD,SHILLONG,1421
ALLAHABAD,SHIMLA,893
ALLAHABAD,SURAT,1357
ALLAHABAD,TRIVANDRUM,1699
ALLAHABAD,VARANASI,508
ALLAHABAD,VIJAYAWADA,1350
ALLAHABAD,VISHAKAPATNAM,1518
AMRITSAR,AGARTALA,3126
AMRITSAR,AGRA,645
AMRITSAR,AHMEDABAD,1354
AMRITSAR,ALLAHABAD,1093
AMRITSAR,AMRITSAR,0
AMRITSAR,ASANSOL,1689
AMRITSAR,BANGALORE,2157
AMRITSAR,BARODA,1420
AMRITSAR,BHOPAL,1187
AMRITSAR,BHUBANESHWAR,2158
AMRITSAR,BOMBAY,1700
AMRITSAR,CALCUTTA,1885
AMRITSAR,CALICUT,2426
AMRITSAR,CHANDIGARH,239
AMRITSAR,COCHIN,2204
AMRITSAR,COIMBATORE,2399
AMRITSAR,DELHI,445
AMRITSAR,GWALIOR,701
AMRITSAR,HUBLI,1766
AMRITSAR,HYDERABAD,1833
AMRITSAR,IMPHAL,2979
AMRITSAR,INDORE,1111
AMRITSAR,JABALPUR,1245
AMRITSAR,JAIPUR,706
AMRITSAR,JAMSHEDPUR,1767
AMRITSAR,JULLUNDUR,393
AMRITSAR,KANPUR,900
AMRITSAR,KOLHAPUR,1981
AMRITSAR,LUCKNOW,939
AMRITSAR,LUDHIANA,344
AMRITSAR,MADRAS,2338
AMRITSAR,MADURAI,2503
AMRITSAR,MEERUT,511
AMRITSAR,NAGPUR,1357
AMRITSAR,NASIK,1525
AMRITSAR,PANJIM,1956
AMRITSAR,PATNA,1445
AMRITSAR,PONDICHERRY,2170
AMRITSAR,PUNE,1734
AMRITSAR,RANCHI,1623
AMRITSAR,SHILLONG,2464
AMRITSAR,SHIMLA,338
AMRITSAR,SURAT,1564
AMRITSAR,TRIVANDRUM,2395
AMRITSAR,VARANASI,1190
AMRITSAR,VIJAYAWADA,2099
AMRITSAR,VISHAKAPATNAM,2267
ASANSOL,AGARTALA,2076
ASANSOL,AGRA,1079
ASANSOL,AHMEDABAD,1719
ASANSOL,ALLAHABAD,797
ASANSOL,AMRITSAR,1689
ASANSOL,ASANSOL,0
ASANSOL,BANGALORE,1640
ASANSOL,BARODA,1773
ASANSOL,BHOPAL,1374
ASANSOL,BHUBANESHWAR,523
ASANSOL,BOMBAY,1784
ASANSOL,CALCUTTA,226
ASANSOL,CALICUT,1776
ASANSOL,CHANDIGARH,1450
ASANSOL,COCHIN,1998
ASANSOL,COIMBATORE,1973
ASANSOL,DELHI,1262
ASANSOL,GWALIOR,1069
ASANSOL,HUBLI,1390
ASANSOL,HYDERABAD,1567
ASANSOL,IMPHAL,1929
ASANSOL,INDORE,1394
ASANSOL,JABALPUR,1131
ASANSOL,JAIPUR,1304
ASANSOL,JAMSHEDPUR,494
ASANSOL,JULLUNDUR,1604
ASANSOL,KANPUR,789
ASANSOL,KOLHAPUR,1454
ASANSOL,LUCKNOW,825
ASANSOL,LUDHIANA,1555
ASANSOL,MADRAS,1730
ASANSOL,MADURAI,2072
ASANSOL,MEERUT,1278
